"DateTime","(deg F) Mean Temperature (CFSR) at Polygon 1, 1990-01-01 to 1999-12-31"
"1990-01-01:12 AM",31.1288
"1990-01-02:12 AM",33.2406
"1990-01-03:12 AM",39.1494
"1990-01-04:12 AM",40.3378
"1990-01-05:12 AM",35.7949
"1990-01-06:12 AM",34.6503
"1990-01-07:12 AM",36.8953
"1990-01-08:12 AM",39.0232
"1990-01-09:12 AM",40.5266
"1990-01-10:12 AM",40.4555
"1990-01-11:12 AM",40.9393
"1990-01-12:12 AM",32.2518
"1990-01-13:12 AM",27.3457
"1990-01-14:12 AM",33.9717
"1990-01-15:12 AM",41.7175
"1990-01-16:12 AM",46.3048
"1990-01-17:12 AM",49.1025
"1990-01-18:12 AM",44.5593
"1990-01-19:12 AM",38.7536
"1990-01-20:12 AM",39.9492
"1990-01-21:12 AM",37.4805
"1990-01-22:12 AM",38.1209
"1990-01-23:12 AM",41.4419
"1990-01-24:12 AM",44.6463
"1990-01-25:12 AM",39.8777
"1990-01-26:12 AM",35.2688
"1990-01-27:12 AM",38.2917
"1990-01-28:12 AM",37.1041
"1990-01-29:12 AM",38.0131
"1990-01-30:12 AM",35.0937
"1990-01-31:12 AM",36.3112
"1990-02-01:12 AM",41.207
"1990-02-02:12 AM",40.6305
"1990-02-03:12 AM",39.9243
"1990-02-04:12 AM",37.6727
"1990-02-05:12 AM",35.6162
"1990-02-06:12 AM",39.79
"1990-02-07:12 AM",43.0752
"1990-02-08:12 AM",45.6728
"1990-02-09:12 AM",48.4401
"1990-02-10:12 AM",41.2174
"1990-02-11:12 AM",38.7988
"1990-02-12:12 AM",42.3928
"1990-02-13:12 AM",43.1856
"1990-02-14:12 AM",39.8489
"1990-02-15:12 AM",42.3486
"1990-02-16:12 AM",40.627
"1990-02-17:12 AM",30.4021
"1990-02-18:12 AM",34.0963
"1990-02-19:12 AM",34.9243
"1990-02-20:12 AM",32.8302
"1990-02-21:12 AM",38.9874
"1990-02-22:12 AM",44.7665
"1990-02-23:12 AM",40.7098
"1990-02-24:12 AM",31.8474
"1990-02-25:12 AM",23.7538
"1990-02-26:12 AM",29.4368
"1990-02-27:12 AM",36.7853
"1990-02-28:12 AM",35.7838
"1990-03-01:12 AM",36.0207
"1990-03-02:12 AM",39.2065
"1990-03-03:12 AM",36.7826
"1990-03-04:12 AM",35.9438
"1990-03-05:12 AM",38.284
"1990-03-06:12 AM",39.8167
"1990-03-07:12 AM",39.6624
"1990-03-08:12 AM",42.8977
"1990-03-09:12 AM",48.9619
"1990-03-10:12 AM",53.2783
"1990-03-11:12 AM",56.7824
"1990-03-12:12 AM",59.815
"1990-03-13:12 AM",59.9562
"1990-03-14:12 AM",58.1209
"1990-03-15:12 AM",54.037
"1990-03-16:12 AM",51.4366
"1990-03-17:12 AM",48.6009
"1990-03-18:12 AM",43.2826
"1990-03-19:12 AM",39.1132
"1990-03-20:12 AM",36.6829
"1990-03-21:12 AM",42.0264
"1990-03-22:12 AM",46.996
"1990-03-23:12 AM",41.7087
"1990-03-24:12 AM",37.4241
"1990-03-25:12 AM",38.0773
"1990-03-26:12 AM",37.8664
"1990-03-27:12 AM",38.3956
"1990-03-28:12 AM",43.8087
"1990-03-29:12 AM",46.494
"1990-03-30:12 AM",48.3242
"1990-03-31:12 AM",50.6217
"1990-04-01:12 AM",52.3288
"1990-04-02:12 AM",47.9502
"1990-04-03:12 AM",43.2086
"1990-04-04:12 AM",45.8634
"1990-04-05:12 AM",45.9293
"1990-04-06:12 AM",40.7953
"1990-04-07:12 AM",38.766
"1990-04-08:12 AM",43.367
"1990-04-09:12 AM",49.6445
"1990-04-10:12 AM",51.2211
"1990-04-11:12 AM",43.5486
"1990-04-12:12 AM",40.505
"1990-04-13:12 AM",44.688
"1990-04-14:12 AM",50.3037
"1990-04-15:12 AM",51.2047
"1990-04-16:12 AM",52.1487
"1990-04-17:12 AM",49.1036
"1990-04-18:12 AM",45.675
"1990-04-19:12 AM",51.1041
"1990-04-20:12 AM",58.2568
"1990-04-21:12 AM",60.5658
"1990-04-22:12 AM",61.5151
"1990-04-23:12 AM",64.0366
"1990-04-24:12 AM",65.9872
"1990-04-25:12 AM",67.1871
"1990-04-26:12 AM",67.2166
"1990-04-27:12 AM",65.0338
"1990-04-28:12 AM",60.3286
"1990-04-29:12 AM",58.6917
"1990-04-30:12 AM",57.8986
"1990-05-01:12 AM",57.0882
"1990-05-02:12 AM",56.4582
"1990-05-03:12 AM",57.7035
"1990-05-04:12 AM",58.1556
"1990-05-05:12 AM",55.4086
"1990-05-06:12 AM",55.1725
"1990-05-07:12 AM",59.6059
"1990-05-08:12 AM",62.3944
"1990-05-09:12 AM",60.1914
"1990-05-10:12 AM",55.0679
"1990-05-11:12 AM",54.1395
"1990-05-12:12 AM",58.3378
"1990-05-13:12 AM",60.4171
"1990-05-14:12 AM",62.1144
"1990-05-15:12 AM",65.2199
"1990-05-16:12 AM",66.758
"1990-05-17:12 AM",62.1226
"1990-05-18:12 AM",59.8872
"1990-05-19:12 AM",61.7229
"1990-05-20:12 AM",62.728
"1990-05-21:12 AM",61.2943
"1990-05-22:12 AM",58.694
"1990-05-23:12 AM",59.2488
"1990-05-24:12 AM",62.5194
"1990-05-25:12 AM",65.4048
"1990-05-26:12 AM",66.6622
"1990-05-27:12 AM",65.8089
"1990-05-28:12 AM",64.9785
"1990-05-29:12 AM",62.8619
"1990-05-30:12 AM",62.0028
"1990-05-31:12 AM",64.3681
"1990-06-01:12 AM",69.0579
"1990-06-02:12 AM",71.2944
"1990-06-03:12 AM",66.3001
"1990-06-04:12 AM",62.4664
"1990-06-05:12 AM",63.4453
"1990-06-06:12 AM",69.5106
"1990-06-07:12 AM",71.418
"1990-06-08:12 AM",72.8478
"1990-06-09:12 AM",72.8719
"1990-06-10:12 AM",70.9578
"1990-06-11:12 AM",69.3154
"1990-06-12:12 AM",71.9085
"1990-06-13:12 AM",74.6083
"1990-06-14:12 AM",74.8936
"1990-06-15:12 AM",73.6374
"1990-06-16:12 AM",74.3392
"1990-06-17:12 AM",76.4816
"1990-06-18:12 AM",76.1616
"1990-06-19:12 AM",74.1371
"1990-06-20:12 AM",73.4947
"1990-06-21:12 AM",73.8201
"1990-06-22:12 AM",71.697
"1990-06-23:12 AM",69.7282
"1990-06-24:12 AM",69.7975
"1990-06-25:12 AM",72.7837
"1990-06-26:12 AM",75.1633
"1990-06-27:12 AM",75.2056
"1990-06-28:12 AM",76.1779
"1990-06-29:12 AM",77.8723
"1990-06-30:12 AM",77.8563
"1990-07-01:12 AM",76.3448
"1990-07-02:12 AM",76.4814
"1990-07-03:12 AM",79.0318
"1990-07-04:12 AM",80.4727
"1990-07-05:12 AM",76.9312
"1990-07-06:12 AM",73.5636
"1990-07-07:12 AM",74.3063
"1990-07-08:12 AM",78.2533
"1990-07-09:12 AM",78.4531
"1990-07-10:12 AM",76.3842
"1990-07-11:12 AM",73.3678
"1990-07-12:12 AM",69.8187
"1990-07-13:12 AM",67.3797
"1990-07-14:12 AM",68.2255
"1990-07-15:12 AM",70.3287
"1990-07-16:12 AM",72.6085
"1990-07-17:12 AM",74.9093
"1990-07-18:12 AM",75.511
"1990-07-19:12 AM",75.1345
"1990-07-20:12 AM",74.3052
"1990-07-21:12 AM",73.5112
"1990-07-22:12 AM",71.8326
"1990-07-23:12 AM",71.2233
"1990-07-24:12 AM",72.7365
"1990-07-25:12 AM",74.1043
"1990-07-26:12 AM",74.8962
"1990-07-27:12 AM",76.1983
"1990-07-28:12 AM",77.4394
"1990-07-29:12 AM",77.065
"1990-07-30:12 AM",75.0153
"1990-07-31:12 AM",72.4077
"1990-08-01:12 AM",71.9337
"1990-08-02:12 AM",73.5948
"1990-08-03:12 AM",75.6345
"1990-08-04:12 AM",75.8115
"1990-08-05:12 AM",72.8236
"1990-08-06:12 AM",70.5569
"1990-08-07:12 AM",69.2778
"1990-08-08:12 AM",70.5976
"1990-08-09:12 AM",72.3679
"1990-08-10:12 AM",72.3261
"1990-08-11:12 AM",72.6656
"1990-08-12:12 AM",72.9837
"1990-08-13:12 AM",72.6265
"1990-08-14:12 AM",73.0238
"1990-08-15:12 AM",73.7224
"1990-08-16:12 AM",76.2874
"1990-08-17:12 AM",78.2089
"1990-08-18:12 AM",78.4432
"1990-08-19:12 AM",75.2292
"1990-08-20:12 AM",73.3586
"1990-08-21:12 AM",73.2146
"1990-08-22:12 AM",73.5377
"1990-08-23:12 AM",74.3128
"1990-08-24:12 AM",75.6509
"1990-08-25:12 AM",77.7299
"1990-08-26:12 AM",79.8656
"1990-08-27:12 AM",80.4808
"1990-08-28:12 AM",80.2017
"1990-08-29:12 AM",77.7259
"1990-08-30:12 AM",75.2032
"1990-08-31:12 AM",75.7456
"1990-09-01:12 AM",76.321
"1990-09-02:12 AM",75.9042
"1990-09-03:12 AM",74.4577
"1990-09-04:12 AM",76.163
"1990-09-05:12 AM",76.7656
"1990-09-06:12 AM",79.1433
"1990-09-07:12 AM",76.9091
"1990-09-08:12 AM",71.9737
"1990-09-09:12 AM",72.2529
"1990-09-10:12 AM",72.2089
"1990-09-11:12 AM",72.0336
"1990-09-12:12 AM",72.7275
"1990-09-13:12 AM",73.1241
"1990-09-14:12 AM",70.4662
"1990-09-15:12 AM",66.8817
"1990-09-16:12 AM",64.2024
"1990-09-17:12 AM",60.3271
"1990-09-18:12 AM",61.2781
"1990-09-19:12 AM",64.5046
"1990-09-20:12 AM",65.5723
"1990-09-21:12 AM",65.9757
"1990-09-22:12 AM",62.9445
"1990-09-23:12 AM",55.6759
"1990-09-24:12 AM",56.0604
"1990-09-25:12 AM",62.2611
"1990-09-26:12 AM",65.3668
"1990-09-27:12 AM",66.8242
"1990-09-28:12 AM",66.0022
"1990-09-29:12 AM",64.4812
"1990-09-30:12 AM",61.3897
"1990-10-01:12 AM",61.1908
"1990-10-02:12 AM",63.6192
"1990-10-03:12 AM",65.9646
"1990-10-04:12 AM",64.5193
"1990-10-05:12 AM",65.3434
"1990-10-06:12 AM",67.2532
"1990-10-07:12 AM",63.6991
"1990-10-08:12 AM",60.6511
"1990-10-09:12 AM",56.493
"1990-10-10:12 AM",52.6917
"1990-10-11:12 AM",52.7049
"1990-10-12:12 AM",55.128
"1990-10-13:12 AM",57.5505
"1990-10-14:12 AM",59.2509
"1990-10-15:12 AM",58.3344
"1990-10-16:12 AM",59.6104
"1990-10-17:12 AM",62.7827
"1990-10-18:12 AM",53.0312
"1990-10-19:12 AM",46.8149
"1990-10-20:12 AM",51.6153
"1990-10-21:12 AM",52.711
"1990-10-22:12 AM",52.1247
"1990-10-23:12 AM",52.3269
"1990-10-24:12 AM",50.067
"1990-10-25:12 AM",46.5184
"1990-10-26:12 AM",46.2326
"1990-10-27:12 AM",48.8898
"1990-10-28:12 AM",47.419
"1990-10-29:12 AM",48.4858
"1990-10-30:12 AM",52.4617
"1990-10-31:12 AM",55.1149
"1990-11-01:12 AM",58.9455
"1990-11-02:12 AM",59.6286
"1990-11-03:12 AM",57.3391
"1990-11-04:12 AM",51.1615
"1990-11-05:12 AM",45.2872
"1990-11-06:12 AM",42.2119
